[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 34 | TS_NS: 13952830919872
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830932174
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 8-9 | LINE: 36 | TS_NS: 13952830936635
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x59a41d2d92d0 | THREADS: 9-8 | LINE: 36 | TS_NS: 13952830941180
Launch to finish        : 695 ms
Gate opened at          : 694 ms from launch

--- Expected solo_vars[i] = 1000000 (each thread ran solo) ---
solo_vars[0]=1000000 solo_vars[1]=1000000 solo_vars[2]=1000000 solo_vars[3]=1000000 

--- Expected race_var < 400 (racy, so updates were lost) ---
race_var final          : 267
