
====== Plain FastTrack ======
./build/bench_ft 2>&1 | tee build/out_ft.txt
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800267004
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-7 | LINE: 36 | TS_NS: 12991800308541
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 7-8 | LINE: 36 | TS_NS: 12991800336791
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 8-6 | LINE: 36 | TS_NS: 12991800377222
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 34 | TS_NS: 12991800470522
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800496039
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-7 | LINE: 36 | TS_NS: 12991800586645
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 7-8 | LINE: 34 | TS_NS: 12991800628356
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 7-8 | LINE: 36 | TS_NS: 12991800643778
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 8-6 | LINE: 36 | TS_NS: 12991800658054
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 34 | TS_NS: 12991800680163
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800692913
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 12991800699216
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 34 | TS_NS: 12991800705358
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 36 | TS_NS: 12991800706980
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 34 | TS_NS: 12991800708477
[FASTTRACK LOG] | TYPE: W-W | ADDR: 0x5feab8a202d0 | THREADS: 9-6 | LINE: 36 | TS_NS: 12991800710014
[FASTTRACK LOG] | TYPE: W-R | ADDR: 0x5feab8a202d0 | THREADS: 6-9 | LINE: 34 | TS_NS: 12991800711225
